comparison,model_a,model_b,subset,status,n,b_a_right_b_wrong,c_a_wrong_b_right,chi2,p,p_exact,macro_f1_a,macro_f1_b,margin_a_minus_b,discordant_odds_ratio
"XLM-RoBERTa vs best classical baseline, full test set",xlmr,tfidf_svm,full,scored,7340,273,155,31.983644859813083,1.554760763815228e-08,1.2668075310150455e-08,0.9272737237557649,0.9107241338054112,0.016549589950353716,1.761290322580645
"XLM-RoBERTa vs best classical baseline, Arabic subset",xlmr,tfidf_svm,Arabic,scored,1781,87,43,14.223076923076922,0.00016236708451911782,0.00014200427579925745,0.9085710178853774,0.8831364829396325,0.02543453494574488,2.0232558139534884
"XLM-RoBERTa vs multilingual BERT, full test set",xlmr,mbert,full,scored,7340,181,119,12.403333333333334,0.00042856814449695503,0.0004106214129933652,0.9272737237557649,0.9184493208138472,0.008824402941917664,1.5210084033613445
"MARBERT vs AraBERT, Arabic subset",marbert,arabert,Arabic,scored,1781,42,30,1.6805555555555556,0.1948506486088658,0.1945051658673991,0.9145084982680891,0.9078185624242796,0.0066899358438095025,1.4
