model,auc
TF-IDF + logistic regression,0.9604956359071778
TF-IDF + linear SVM,0.9605385630125174
TF-IDF + multinomial naive Bayes,0.9447828869553396
XLM-RoBERTa (base),0.9727323794193774
Multilingual BERT,0.9686652053407936
AraBERT,0.9638594472424042
MARBERT,0.9651340096598414
