min_words,n,Arabic,English,arabic_share_pct
1,74411,19731,54215,26.5
3,68747,17700,50642,25.7
5,58143,14155,43650,24.3
6,52640,12526,39807,23.8
8,43720,9870,33590,22.6
10,36960,7918,28823,21.4
