key,model,macro_f1_english,n_english,macro_f1_arabic,arabic_ci_low,arabic_ci_high,n_arabic,gap_en_minus_ar
tfidf_lr,TF-IDF + logistic regression,0.9144997608891359,5559,0.8798053527980535,0.8644571494753829,0.8954150529222813,1781,0.034694408091082374
tfidf_svm,TF-IDF + linear SVM,0.9167807134847141,5559,0.8831364829396325,0.8676103110738579,0.8986535254113732,1781,0.03364423054508159
tfidf_nb,TF-IDF + multinomial naive Bayes,0.9002073560415857,5559,0.8424178909617139,0.8240380681310778,0.8599918125965322,1781,0.057789465079871816
xlmr,XLM-RoBERTa (base),0.931253635252853,5559,0.9085710178853774,0.8942886993209579,0.922156557450875,1781,0.022682617367475566
mbert,Multilingual BERT,0.9255007298393909,5559,0.8891423591860202,0.8742066793480828,0.9040276455201695,1781,0.036358370653370664
arabert,AraBERT,,0,0.9078185624242796,0.8943969951580752,0.9214688615809131,1781,
marbert,MARBERT,,0,0.9145084982680891,0.9008502512744045,0.9273121209514351,1781,
