platform,n,macro_f1,recall_Dissatisfied,recall_Satisfied,accuracy_secondary
App Store,1405,0.9195660466900547,0.9609004739336493,0.8680926916221033,0.9238434163701068
Google Play,5935,0.9084833850319144,0.9397217928902627,0.8737037037037036,0.9096882898062342
