stratum,n,observed_agreement,kappa,ci_low,ci_high,band
English,192,0.9270833333333334,0.8536585365853658,0.7781116247217942,0.9237224645693773,Almost perfect
Arabic,193,0.9378238341968912,0.8757110657937104,0.8035991644796744,0.9378021269738962,Almost perfect
Overall,385,0.9324675324675324,0.8647955048895132,0.812886894737897,0.9117063603173734,Almost perfect
Intra-annotator (second pass),76,0.9868421052631579,0.9736842105263158,0.9194915254237288,1.0,Almost perfect
