key,model,status,n_test,macro_f1,ci_low,ci_high,recall_dissatisfied,recall_satisfied,precision_dissatisfied,auc,accuracy_secondary
tfidf_lr,TF-IDF + logistic regression,scored,7340,0.908337750680523,0.9016965066171176,0.9148607517275816,0.9325815150772249,0.8813247470101196,0.9076592698639943,0.9604956359071778,0.9098092643051771
tfidf_svm,TF-IDF + linear SVM,scored,7340,0.9107241338054112,0.9042414046669157,0.9171415426675746,0.9441039470458445,0.8727384237963814,0.9027191748710736,0.9605385630125174,0.9123978201634877
tfidf_nb,TF-IDF + multinomial naive Bayes,scored,7340,0.8904034162011631,0.8831612651060242,0.8976272863631762,0.9433684726648689,0.8301134621281815,0.8741481144934121,0.9447828869553396,0.8930517711171662
xlmr,XLM-RoBERTa (base),scored,7340,0.9272737237557649,0.9213176455152938,0.9329794021184943,0.9509683746016181,0.9003373198405397,0.9226926736441484,0.9727323794193774,0.9284741144414169
mbert,Multilingual BERT,scored,7340,0.9184493208138472,0.9119633267457905,0.924585626989474,0.9529296396175533,0.8788715118061944,0.907753386268099,0.9686652053407936,0.9200272479564032
arabert,AraBERT,scored,1781,0.9078185624242796,0.8943969951580752,0.9214688615809131,0.9339498018494056,0.890625,0.8632478632478633,0.9638594472424042,0.9090398652442448
marbert,MARBERT,scored,1781,0.9145084982680891,0.9008502512744045,0.9273121209514351,0.9339498018494056,0.90234375,0.8760842627013631,0.9651340096598414,0.9157776530039303
