model,language,n,macro_f1,recall_Dissatisfied,recall_Satisfied,accuracy_secondary
TF-IDF + logistic regression,Arabic,1781,0.8798,0.8573,0.9014,0.8827
TF-IDF + logistic regression,English,5559,0.9145,0.9497,0.8722,0.9185
TF-IDF + linear SVM,Arabic,1781,0.8831,0.8758,0.8926,0.8855
TF-IDF + linear SVM,English,5559,0.9168,0.9597,0.8637,0.921
TF-IDF + multinomial naive Bayes,Arabic,1781,0.8424,0.7688,0.9072,0.8484
TF-IDF + multinomial naive Bayes,English,5559,0.9002,0.9831,0.7948,0.9074
