star_rating,Dissatisfied,Neutral,Satisfied,All
1,28150,0,0,28150
2,4293,0,0,4293
3,0,4131,0,4131
4,0,0,4706,4706
5,0,0,33132,33132
All,32443,4131,37838,74412
